INPUT,/jilabbis/,/labisa/,/kˀatala/,/jiðbaħ/,/jat͡sɡud/,/samiʕa/,/samaːjum/,/tiɬˀabbaʔuː/,/kawuna/,/θˀumʔam/,/ðiʔbim/,/d͡zalala/,/d͡ziblaka/,/mawɬˀaʔum/,/jirbaħ/,/bajtam/,/jipqaʕ/,/ʔaɬwaːkum/,/ɬajiba/,/maθˀlimum/,/t͡sˀallaja/,/kullam/,/ɡubnatum/,/kˀurbaːnum/,/xulkˀum/,/xariːpum/
R0,,,,,,,/samaːju/,,,/θˀumʔa/,/ðiʔbi/,,,/mawɬˀaʔu/,,/bajta/,,/ʔaɬwaːku/,,/maθˀlimu/,,/kulla/,/ɡubnatu/,/kˀurbaːnu/,/xulkˀu/,/xariːpu/
R1,,,,/jizbaħ/,,,,,,/sˀumʔa/,/ziʔbi/,,,,,,,,,/masˀlimu/,,,,,,
R2,,,,,,,,,,,,,,,,,/jifqaʕ/,,,,,,,,,/xariːfu/
R3,,,,,,,,,,,,,,,,,,,,,,,,,,
R4,,,,,/jasɡud/,,,,,,,/zalala/,/ziblaka/,,,,,,,,/sˀallaja/,,,,,
=Early-Proto-Southwest-Semitic,null/jilabbis/,null/labisa/,null/kˀatala/,null/jizbaħ/,null/jasɡud/,null/samiʕa/,null/samaːju/,null/tiɬˀabbaʔuː/,null/kawuna/,null/sˀumʔa/,null/ziʔbi/,null/zalala/,null/ziblaka/,null/mawɬˀaʔu/,null/jirbaħ/,null/bajta/,null/jifqaʕ/,null/ʔaɬwaːku/,null/ɬajiba/,null/masˀlimu/,null/sˀallaja/,null/kulla/,null/ɡubnatu/,null/kˀurbaːnu/,null/xulkˀu/,null/xariːfu/
R5,,,,,/jasɡʷud/,,,,,,,,,,,,,/ʔaɬwaːkʷu/,,,,/kʷulla/,/ɡʷubnatu/,/kˀʷurbaːnu/,/xʷulkˀʷu/,
=Pre-Ge'ez,null/jilabbis/,null/labisa/,null/kˀatala/,null/jizbaħ/,null/jasɡʷud/,null/samiʕa/,null/samaːju/,null/tiɬˀabbaʔuː/,null/kawuna/,null/sˀumʔa/,null/ziʔbi/,null/zalala/,null/ziblaka/,null/mawɬˀaʔu/,null/jirbaħ/,null/bajta/,null/jifqaʕ/,null/ʔaɬwaːkʷu/,null/ɬajiba/,null/masˀlimu/,null/sˀallaja/,null/kʷulla/,null/ɡʷubnatu/,null/kˀʷurbaːnu/,null/xʷulkˀʷu/,null/xariːfu/
R6,,,,,,,,/tiɬˀabbɨʔuː/,,,,,,,,,,,,,,,,,,
R7,/jɨlɘbbɨs/,/lɘbɨsɘ/,/kˀɘtɘlɘ/,/jɨzbɘħ/,/jɘsɡʷɨd/,/sɘmɨʕɘ/,/sɘmaːjɨ/,/tɨɬˀɘbbɨʔuː/,/kɘwɨnɘ/,/sˀɨmʔɘ/,/zɨʔbɨ/,/zɘlɘlɘ/,/zɨblɘkɘ/,/mɘwɬˀɘʔɨ/,/jɨrbɘħ/,/bɘjtɘ/,/jɨfqɘʕ/,/ʔɘɬwaːkʷɨ/,/ɬɘjɨbɘ/,/mɘsˀlɨmɨ/,/sˀɘllɘjɘ/,/kʷɨllɘ/,/ɡʷɨbnɘtɨ/,/kˀʷɨrbaːnɨ/,/xʷɨlkˀʷɨ/,/xɘriːfɨ/
R8,,,,,,,/sɘmaːj/,,,,/zɨʔb/,,,/mɘwɬˀɘʔ/,,,,/ʔɘɬwaːkʷ/,,/mɘsˀlɨm/,,,/ɡʷɨbnɘt/,/kˀʷɨrbaːn/,/xʷɨlkˀʷ/,/xɘriːf/
R9,,/lɘbsɘ/,,,,/sɘmʕɘ/,,,/kɘwnɘ/,,,,,,,,,,/ɬɘjbɘ/,,,,,,,
R10,,,,,,,,,/kɤ̹nɘ/,,,,,/mɤ̹ɬˀɘʔ/,,/betɘ/,,,/ɬebɘ/,,/sˀɘlleɘ/,,,,,
R11,,,,,,,,/tɨɬˀɘbbɨʔu/,,,,,,,,,,,,,,,,,,
R12,,,,,,,/sɘmaj/,,,,,,,,,,,,,,,,,/kˀʷɨrban/,,/xɘrif/
R13,,,,/jɨzbaħ/,,,,,,,,,,,/jɨrbaħ/,,/jɨfqaʕ/,,,,,,,,,
R14,,,,,,,,,,,,,,/mɤ̹ɬˀaʔ/,,,,,,,,,,,,
